path,image,tag,digest,eol_risk,source,ref_type,raw_ref
k8s/archived/kube-dns/kubedns.yml,registry.cn-hangzhou.aliyuncs.com/google_containers/k8s-dns-dnsmasq-nanny-amd64,1.14.7,unknown,high,k8s,image,registry.cn-hangzhou.aliyuncs.com/google_containers/k8s-dns-dnsmasq-nanny-amd64:1.14.7
k8s/archived/kube-dns/kubedns.yml,registry.cn-hangzhou.aliyuncs.com/google_containers/k8s-dns-kube-dns-amd64,1.14.7,unknown,high,k8s,image,registry.cn-hangzhou.aliyuncs.com/google_containers/k8s-dns-kube-dns-amd64:1.14.7
k8s/archived/kube-dns/kubedns.yml,registry.cn-hangzhou.aliyuncs.com/google_containers/k8s-dns-sidecar-amd64,1.14.7,unknown,high,k8s,image,registry.cn-hangzhou.aliyuncs.com/google_containers/k8s-dns-sidecar-amd64:1.14.7
k8s/archived/metrics-server/metrics-server-1.12+.yml,zhangguanzhang/gcr.io.google_containers.metrics-server-amd64,v0.3.1,unknown,high,k8s,image,zhangguanzhang/gcr.io.google_containers.metrics-server-amd64:v0.3.1
k8s/archived/metrics-server/metrics-server.yml,zhangguanzhang/gcr.io.google_containers.metrics-server-amd64,v0.2.1,unknown,high,k8s,image,zhangguanzhang/gcr.io.google_containers.metrics-server-amd64:v0.2.1
k8s/master/manifests/etcd.yml,quay.io/coreos/etcd,v3.3.9,unknown,high,k8s,image,quay.io/coreos/etcd:v3.3.9
k8s/master/manifests/haproxy.yml,kairen/haproxy,1.7,unknown,high,k8s,image,kairen/haproxy:1.7
k8s/master/manifests/keepalived.yml,zhangguanzhang/keepalived,1.3.9,unknown,high,k8s,image,zhangguanzhang/keepalived:1.3.9
k8s/master/manifests/kube-apiserver.yml,registry.cn-hangzhou.aliyuncs.com/google_containers/kube-apiserver-amd64,v1.11.1,unknown,high,k8s,image,registry.cn-hangzhou.aliyuncs.com/google_containers/kube-apiserver-amd64:v1.11.1
k8s/master/manifests/kube-controller-manager.yml,registry.cn-hangzhou.aliyuncs.com/google_containers/kube-controller-manager-amd64,v1.11.1,unknown,high,k8s,image,registry.cn-hangzhou.aliyuncs.com/google_containers/kube-controller-manager-amd64:v1.11.1
k8s/master/manifests/kube-scheduler.yml,registry.cn-hangzhou.aliyuncs.com/google_containers/kube-scheduler-amd64,v1.11.1,unknown,high,k8s,image,registry.cn-hangzhou.aliyuncs.com/google_containers/kube-scheduler-amd64:v1.11.1
